strategy,accuracy,precision,recall,f1,auc_roc,auc_pr,TP,FN,FP
RandomForest: original,81.6,0.6564,0.3527,0.4588,0.7722,0.5524,468,859,245
RandomForest: class_weight,78.45,0.5113,0.581,0.5439,0.7727,0.5526,771,556,737
RandomForest: oversample,78.23,0.5072,0.5584,0.5316,0.7725,0.5503,741,586,720
RandomForest: SMOTE,77.05,0.4829,0.5328,0.5066,0.7545,0.5161,707,620,757
RandomForest: diffusion,79.05,0.5262,0.529,0.5276,0.7679,0.545,702,625,632
LogReg: original,80.77,0.6868,0.2396,0.3553,0.7076,0.4939,318,1009,145
LogReg: class_weight,67.97,0.3672,0.6202,0.4613,0.7081,0.4904,823,504,1418
LogReg: oversample,67.55,0.3634,0.6217,0.4587,0.7086,0.4917,825,502,1445
LogReg: SMOTE,68.9,0.3705,0.581,0.4525,0.6915,0.452,771,556,1310
LogReg: diffusion,72.63,0.4076,0.5237,0.4584,0.6778,0.4615,695,632,1010
